embedding_type,model,chr,accuracy,f1,mcc,auroc,pearson
last,XGB,6,0.7627450980392156,0.7251080920897001,0.7006549680462844,0.9376766314777655,0.73144884351042
last,XGB,6,0.8098039215686275,0.7902572322423416,0.7597113344046611,0.9468632828699273,0.7785109667141089
last,XGB,6,0.803921568627451,0.7737606828803028,0.7537193505033327,0.9474732512851289,0.7761633645279387
last,XGB,6,0.8035363457760314,0.7749251991075192,0.7520866109146912,0.9474877442154392,0.7767759140710078
last,XGB,6,0.7740667976424361,0.7471760627199023,0.7143292936896241,0.9358746228316805,0.7444320193068534
last_mat,XGB,6,0.7254901960784313,0.6796390013394831,0.6528257212120081,0.900811889884897,0.6595852741497736
last_mat,XGB,6,0.7333333333333333,0.703436080377896,0.6626568911581728,0.9028325784155579,0.6804474126181848
last_mat,XGB,6,0.7392156862745098,0.7061668807283142,0.6705835796563274,0.9055438573830863,0.6848994876250538
last_mat,XGB,6,0.7190569744597249,0.6901939568464466,0.6447843456990715,0.9112218879070578,0.691617143014328
last_mat,XGB,6,0.693516699410609,0.6645311847883189,0.6122881852472057,0.8965420987972339,0.6533690273900028
last_pat,XGB,6,0.707843137254902,0.666876113182677,0.6316373663452062,0.8949614826269272,0.649147363980795
last_pat,XGB,6,0.6901960784313725,0.6606650334889218,0.6087114656180748,0.903193751557494,0.6588324593498164
last_pat,XGB,6,0.7156862745098039,0.6751648493550334,0.6413353163147215,0.9152393585645164,0.6840039244897695
last_pat,XGB,6,0.730844793713163,0.6919994208471654,0.6596905750701083,0.9062435220752467,0.6793165068913181
last_pat,XGB,6,0.724950884086444,0.6909021238283524,0.6519248102183911,0.8947161737657261,0.6663180961745915
mean,XGB,6,0.803921568627451,0.7722946538556295,0.7534235458435357,0.9618914948360278,0.7878937967626458
mean,XGB,6,0.8156862745098039,0.7929253688514935,0.7671165655600789,0.9485791554980558,0.7898274021927365
mean,XGB,6,0.8411764705882353,0.8175323870526103,0.8006494080847522,0.9565333522866533,0.811621369463918
mean,XGB,6,0.8290766208251473,0.8060792017329321,0.7847014182269845,0.9646362319603419,0.8123717623396203
mean,XGB,6,0.8074656188605108,0.7854283474406358,0.7568888142386339,0.9552003573316116,0.7885749244559863
mean_mat,XGB,6,0.7568627450980392,0.718619331553213,0.6932254688209409,0.9276959846715593,0.7225898189224269
mean_mat,XGB,6,0.7588235294117647,0.7334663205030043,0.6952040729821121,0.9125253199513166,0.7137931826521825
mean_mat,XGB,6,0.7862745098039216,0.7565986526122117,0.7301291010166508,0.931777596567858,0.753727675543084
mean_mat,XGB,6,0.7740667976424361,0.7536867493036921,0.7154484541488583,0.9381636173783384,0.7439346717570751
mean_mat,XGB,6,0.7544204322200393,0.7216307012274316,0.6897225402465678,0.9184115248973093,0.7159844481841888
mean_pat,XGB,6,0.7294117647058823,0.6926791251566919,0.6583014193517697,0.912833358205277,0.6868764356788374
mean_pat,XGB,6,0.7607843137254902,0.7337551373051087,0.6978078575655864,0.9225289412068708,0.719418799595535
mean_pat,XGB,6,0.7627450980392156,0.7337413315256015,0.7006043765844413,0.9333681907359344,0.7351618895702766
mean_pat,XGB,6,0.7603143418467584,0.725496503298088,0.6974961565711636,0.9228942465273114,0.7252307911652013
mean_pat,XGB,6,0.7426326129666012,0.7095087132547085,0.6746209903155733,0.9127486840873591,0.6978716676685377
max,XGB,6,0.8,0.7588075801372725,0.7487791736982742,0.954140285242462,0.7673552220318484
max,XGB,6,0.8392156862745098,0.8172481510807366,0.7969900181328995,0.95273391987851,0.8169713036941006
max,XGB,6,0.8333333333333334,0.8067699952166721,0.7900946164532007,0.9564903991372219,0.810554668651088
max,XGB,6,0.8369351669941061,0.8101234734931605,0.794621419027235,0.9638604134276318,0.8168988973707748
max,XGB,6,0.8055009823182712,0.7772896161327353,0.7542619786877076,0.9561089318720638,0.7817783931782756
max_mat,XGB,6,0.7843137254901961,0.7465937410907818,0.7288231345087772,0.9327690338145567,0.759952917135964
max_mat,XGB,6,0.7686274509803922,0.7443962792530958,0.7076531199035867,0.9133348358690518,0.7193037727765378
max_mat,XGB,6,0.803921568627451,0.7792272789362851,0.7536240058494731,0.9328934232576727,0.7682513189715893
max_mat,XGB,6,0.787819253438114,0.763385188037479,0.7326574560935402,0.9404705613342473,0.7598241940200631
max_mat,XGB,6,0.7740667976424361,0.7447811371623727,0.7151372799310722,0.9224074675802262,0.7349338959073648
max_pat,XGB,6,0.7274509803921568,0.6846694372082919,0.6553528102078386,0.9112219502944295,0.6773268362107919
max_pat,XGB,6,0.7823529411764706,0.754900885917703,0.7263766583719024,0.9313742623855393,0.7465181637553999
max_pat,XGB,6,0.7784313725490196,0.7490099527663041,0.7203384777625021,0.9345165606541108,0.748226273882185
max_pat,XGB,6,0.762278978388998,0.72942255273642,0.6999037044995097,0.9251484131526159,0.7247098531525697
max_pat,XGB,6,0.7642436149312377,0.73334987182089,0.7019524900213167,0.9259761896251044,0.727380062789014
